order_id,supplier_id,supplier_rating,distance_km,shipment_mode,weather_score,demand_volatility,inventory_level,order_quantity,risk_score,is_delayed
O51,S28,3,1029,Road,0.6213444972535296,0.5591848068293265,635,424,40,1
O52,S6,3,529,Sea,0.5174463517550413,0.4304274103209902,331,487,48,1
O53,S32,3,1505,Sea,0.20699257843842678,0.5165726284459791,997,98,43,1
O54,S15,3,1732,Sea,0.5495836567221436,0.9003212680742715,331,427,72,1
O55,S19,3,469,Road,0.2753811742554185,0.3063134987782127,633,79,21,0
O56,S35,5,1845,Air,0.20886407070573998,0.9256373300253358,986,283,38,0
O57,S25,3,958,Road,0.4888978317924514,0.40177880065432425,272,148,35,0
O58,S2,5,1827,Road,0.8944525568242322,0.4559792757599369,603,484,43,1
O59,S27,3,50,Air,0.00566581452956727,0.9370910284587948,187,177,26,0
O60,S43,1,1638,Road,0.5489804494416418,0.21927396192387572,780,70,54,1
O61,S3,4,938,Air,0.9308873720608084,0.8267146599310183,618,196,58,1
O62,S39,4,1086,Sea,0.8221798868164233,0.8503480011198954,527,186,49,1
O63,S19,3,66,Road,0.2666751966619776,0.724856499315017,408,277,28,0
O64,S2,5,538,Road,0.603291805714943,0.47340088149491255,123,477,38,0
O65,S31,4,297,Air,0.9579341210567704,0.5296597239456199,14,273,60,1
O66,S26,4,1214,Road,0.7730890416974662,0.3099999371717893,605,370,41,1
O67,S18,3,1931,Sea,0.7875490858587793,0.25100138326230026,979,230,50,1
O68,S18,3,885,Sea,0.8794965707281264,0.4600023955807989,366,329,48,1
O69,S14,3,1624,Air,0.762482884475553,0.5424710034626561,967,290,62,1
O70,S16,3,1617,Sea,0.9065722106721628,0.016061864981006146,42,421,63,1
O71,S15,3,1199,Sea,0.1914276804995425,0.4116554604567024,901,146,34,0
O72,S16,3,827,Sea,0.7401613687614631,0.630700471158785,791,123,49,1
O73,S12,5,350,Sea,0.25310153917960876,0.45025424614289034,896,187,20,0
O74,S23,3,380,Sea,0.37220039182521925,0.33303487180539837,337,87,28,0
O75,S16,3,170,Sea,0.1594922625413583,0.16046261427122643,644,251,21,0
O76,S11,1,646,Road,0.7324010490583791,0.5149333499132595,661,295,48,1
O77,S16,3,1524,Air,0.5078050639587791,0.419271661166022,752,111,42,1
O78,S48,3,1924,Air,0.729234742913643,0.6084089358800178,950,111,62,1
O79,S49,3,783,Road,0.5070596467387183,0.18792038081532303,592,267,23,0
O80,S11,1,1577,Sea,0.9009608956904679,0.9961576734987788,229,451,95,1
O81,S25,3,432,Road,0.6761253975882903,0.1384354933293943,664,325,26,0
O82,S26,4,424,Air,0.4535789999228341,0.4548724428028682,531,271,22,0
O83,S40,3,1704,Sea,0.6693086091618792,0.8918931032565626,924,452,59,1
O84,S40,3,1040,Sea,0.7151864547802412,0.28191904290472913,225,314,57,1
O85,S29,4,359,Air,0.5526622677767482,0.37217325524689715,671,236,22,0
O86,S11,1,1804,Air,0.2914609134937939,0.20754093620570346,473,160,49,1
O87,S5,3,1115,Sea,0.7507696492110557,0.1254862967991507,272,465,55,1
O88,S26,4,1881,Sea,0.984845743967094,0.9389964220859776,369,437,76,1
O89,S13,4,1799,Air,0.48581742891263147,0.11692353552539148,764,192,31,0
O90,S14,3,664,Road,0.43123386979155787,0.3475187953137546,246,80,24,0
O91,S7,2,75,Road,0.31180213695576864,0.24977216244651979,570,497,28,0
O92,S38,2,1849,Air,0.46461316880897086,0.37961676445167025,124,362,63,1
O93,S19,3,808,Sea,0.9903323037936483,0.025769598764351143,315,125,43,1
O94,S43,1,1437,Sea,0.24787335872842364,0.697716307553293,699,382,62,1
O95,S34,5,880,Sea,0.4084555814084826,0.6796972168333453,964,487,35,0
O96,S1,3,365,Road,0.5007109258366713,0.6448612228149799,422,294,31,0
O97,S15,3,1454,Sea,0.9430618974069715,0.3238195749024314,360,423,69,1
O98,S29,4,688,Road,0.9002641112020704,0.7921911948016761,928,478,37,0
O99,S50,3,239,Sea,0.8511507354259817,0.9576316462725879,290,182,49,1
O100,S18,3,1036,Road,0.18663993979768256,0.025689644869408168,85,101,37,0
O101,S37,3,1739,Road,0.3373028364674864,0.9415768527339338,420,95,48,1
O102,S21,4,1514,Road,0.5817366474211867,0.40146177908904324,819,210,38,0
O103,S13,4,648,Sea,0.39413604678262815,0.6033341962120348,663,135,28,0
O104,S19,3,482,Sea,0.18483839794702495,0.059587097353143714,726,246,19,0
O105,S18,3,1564,Sea,0.4542783967898225,0.4515655866055751,305,61,47,1
O106,S29,4,1512,Road,0.9925146201619713,0.24067051475715306,749,63,44,1
O107,S17,3,1932,Sea,0.2101071929123518,0.7422713922522868,679,484,47,1
O108,S29,4,1199,Sea,0.8906584554618424,0.5969452234131726,914,456,46,1
O109,S38,2,574,Air,0.7359179535519887,0.2083995736183316,616,57,47,1
O110,S1,3,1440,Road,0.812077611008679,0.8252113712596311,14,266,71,1
O111,S45,3,1400,Air,0.7050409063535927,0.7419777295139859,311,245,64,1
O112,S25,3,595,Sea,0.35719233399304484,0.3440916178494421,97,131,43,1
O113,S28,3,1948,Road,0.843879411230929,0.7422922314869471,438,206,55,1
O114,S35,5,1870,Road,0.34557958587081306,0.006982261880348117,843,347,24,0
O115,S31,4,541,Sea,0.4828512744101048,0.21228564166859132,987,114,23,0
O116,S35,5,1203,Road,0.10868253937469208,0.9812575773912768,630,257,37,1
O117,S37,3,493,Air,0.6900468884094496,0.3161013115469705,73,74,56,1
O118,S48,3,204,Sea,0.22697853947152102,0.7439051873021519,947,75,32,0
O119,S13,4,117,Road,0.9571348325397961,0.4271050453603432,285,98,31,0
O120,S18,3,406,Road,0.8475476330547363,0.18181765283733875,191,436,45,1
O121,S18,3,915,Air,0.32838549961660535,0.4872120069219139,440,432,33,0
O122,S40,3,781,Air,0.8374725196187746,0.23981995220659025,282,123,43,0
O123,S28,3,1352,Sea,0.16975920139282652,0.09564069602371594,545,358,35,0
O124,S21,4,470,Road,0.45027681044159074,0.2525303896364445,218,473,33,0
O125,S15,3,727,Sea,0.3991261004449661,0.2422571575847674,521,445,27,0
O126,S50,3,1801,Sea,0.3597198619102696,0.5361553862527361,460,448,46,1
O127,S8,5,1041,Sea,0.17916391829015088,0.8911400917935094,393,59,35,0
O128,S4,4,104,Air,0.11536280130570387,0.8696813233436628,183,488,37,1
O129,S14,3,847,Road,0.17046251158164205,0.38451581370626653,334,337,43,1
O130,S41,2,1223,Sea,0.11953086954707781,0.23031922468287758,310,117,44,1
O131,S32,3,1166,Sea,0.6202348489611205,0.5448010852760984,3,187,60,1
O132,S1,3,777,Road,0.8517903386605417,0.05257439781100315,824,230,27,0
O133,S50,3,1657,Sea,0.646407375228089,0.4583634794263062,238,182,51,1
O134,S48,3,1596,Air,0.6966889878731969,0.7253263907358781,20,88,78,1
O135,S8,5,705,Air,0.5976823355234591,0.8696958848516338,862,62,30,0
O136,S24,3,1890,Road,0.5807559990556591,0.7416841289918231,388,91,49,0
O137,S39,4,292,Air,0.1567604286516393,0.6834294151572705,778,242,20,0
O138,S50,3,483,Air,0.36589929861780757,0.22939350215438203,611,433,21,0
O139,S46,4,746,Air,0.1625612059314151,0.34952280116939805,389,169,14,0
O140,S7,2,724,Road,0.2814773024509194,0.07006869572118946,808,221,24,0
O141,S19,3,591,Sea,0.1625110652974563,0.9597457214619692,275,330,50,1
O142,S20,3,727,Air,0.5941363914775513,0.7193006090251136,987,379,34,1
O143,S49,3,170,Road,0.7768213672402811,0.6734197289114326,574,78,37,0
O144,S38,2,1011,Air,0.8051192087546649,0.8501327346850368,392,134,68,1
O145,S8,5,1278,Air,0.11944888396428577,0.6223029790740262,467,464,31,0
O146,S11,1,1432,Sea,0.8054662830405868,0.33861122911263253,800,280,67,1
O147,S44,5,152,Sea,0.5637371014453995,0.2049792328259108,225,480,37,0
O148,S1,3,320,Road,0.6993847409873672,0.11201171306820568,58,139,41,0
O149,S31,4,561,Sea,0.15953995668842358,0.8855594435856314,717,116,29,0
O150,S21,4,1279,Sea,0.05122429640431325,0.49651542223060485,236,358,49,1
O151,S40,3,842,Road,0.08613577154903629,0.46380982467437626,118,384,43,1
O152,S20,3,425,Road,0.9644321795679808,0.7178705805519285,309,133,42,0
O153,S19,3,1979,Air,0.03756622954398059,0.7171814470467577,629,213,38,0
O154,S5,3,406,Sea,0.9355230227588572,0.9122075712491822,858,202,50,1
O155,S26,4,128,Air,0.4247941813314118,0.3855525014916693,856,152,20,0
O156,S3,4,1631,Road,0.06247976135782085,0.7212244674989166,933,261,34,1
O157,S42,3,1701,Sea,0.02583897222001119,0.2217794919335464,208,142,34,0
O158,S20,3,1033,Sea,0.22043788489261396,0.9252881947931552,978,375,44,1
O159,S40,3,1734,Sea,0.38646256432793524,0.4202496018075419,950,216,45,1
O160,S31,4,412,Road,0.8996005947632358,0.7819325797882088,886,72,37,0
O161,S44,5,1888,Road,0.4309413365183269,0.1980030303075535,593,421,29,0
O162,S28,3,1368,Sea,0.6817248504123421,0.20779046470475382,137,236,62,1
O163,S16,3,214,Air,0.5750704190854149,0.7865834708315065,327,494,50,1
O164,S16,3,1892,Road,0.0645007586865618,0.972522495633662,61,398,58,1
O165,S30,1,958,Sea,0.6278638260021014,0.36522792625688194,316,172,57,1
O166,S26,4,1349,Sea,0.5913517040532095,0.719199695595767,353,203,49,1
O167,S33,2,427,Sea,0.767233394159223,0.20588731076659939,438,181,41,1
O168,S42,3,485,Sea,0.6155526231931792,0.03955750656261314,72,53,28,0
O169,S21,4,1871,Road,0.6421102350255211,0.2981503562765556,509,328,38,0
O170,S39,4,1698,Sea,0.6900258239406547,0.38718327415593434,270,160,45,1
O171,S7,2,1775,Sea,0.44863259161773417,0.5376921285909715,851,74,56,1
O172,S6,3,373,Sea,0.6374046122611835,0.5567092565528539,848,152,37,1
O173,S4,4,150,Road,0.8043744141377006,0.06582984336315378,873,430,22,0
O174,S43,1,708,Sea,0.46180648156201864,0.3144341058114054,868,403,44,1
O175,S22,2,1576,Sea,0.22455946926889636,0.4655056665274797,549,163,50,1
O176,S32,3,831,Road,0.4340488684781807,0.8194278536703651,831,248,41,1
O177,S3,4,1990,Air,0.7583847715899178,0.6060138319360813,37,74,73,1
O178,S21,4,1277,Sea,0.48235620858275297,0.7028664440501013,605,356,47,1
O179,S8,5,424,Road,0.7044936364116847,0.4538465638069116,867,476,24,0
O180,S39,4,898,Road,0.5724077259677651,0.404519524458235,964,284,31,0
O181,S14,3,1173,Air,0.6392628831813628,0.07514295317758657,781,268,44,1
O182,S45,3,1506,Sea,0.49632277128437885,0.4036466944934778,736,297,47,1
O183,S43,1,155,Sea,0.7286151567927769,0.35484572343065823,386,275,50,1
O184,S48,3,1104,Sea,0.8940995361061592,0.9198709341305428,543,106,57,1
O185,S41,2,1411,Road,0.3125436522367222,0.9144417294873384,892,490,55,1
O186,S20,3,1996,Air,0.45002423952780257,0.33269017969267,609,232,39,1
O187,S33,2,1032,Road,0.1724463889738591,0.5796324582018182,14,281,54,1
O188,S50,3,1918,Air,0.4073822791191404,0.17740947012118236,927,71,36,1
O189,S30,1,1879,Air,0.7483752494281826,0.26203500450687456,444,67,71,1
O190,S16,3,845,Road,0.1645253723928124,0.2335804342223592,765,193,25,0
O191,S46,4,752,Road,0.2074694380588772,0.9058501920987956,319,450,40,0
O192,S14,3,1468,Air,0.5125839031325105,0.5641947917987453,204,468,60,1
O193,S44,5,445,Road,0.03755232006004561,0.3160047228663938,80,85,23,0
O194,S44,5,1557,Sea,0.12897890792716526,0.46846123708708653,604,349,33,0
O195,S23,3,322,Road,0.5684722021568196,0.36372552113568424,815,325,27,0
O196,S50,3,75,Road,0.4509865026483437,0.10075284395957629,814,144,20,0
O197,S42,3,1770,Sea,0.1418443976169852,0.21380121066273283,291,341,51,1
O198,S44,5,1446,Road,0.9849503163616441,0.028836326921705346,958,463,37,0
O199,S37,3,1546,Sea,0.48094160808430353,0.3763118169549976,614,103,46,1
O200,S9,4,1439,Sea,0.9468425516675159,0.46758894849876675,870,315,52,1
O201,S11,1,1765,Road,0.8030060304590013,0.7161487788756946,889,293,68,1
O202,S18,3,1838,Road,0.8301925630695713,0.956132856342369,565,435,58,1
O203,S10,4,219,Road,0.46245681706514796,0.9409657878427938,458,66,31,0
O204,S38,2,1315,Sea,0.17076028345038563,0.22683710232549514,226,472,59,1
O205,S11,1,864,Road,0.7612754563504125,0.9552427682873437,251,57,65,1
O206,S34,5,1899,Sea,0.9568146705908778,0.32997489529027646,214,222,62,1
O207,S50,3,393,Sea,0.17014274017715791,0.31610488794089564,306,384,39,1
O208,S44,5,1871,Road,0.594832713887504,0.33532900745893546,975,101,35,0
O209,S8,5,717,Sea,0.7684210711172421,0.8850153245472586,255,98,38,0
O210,S37,3,613,Road,0.7997627427952397,0.34546115146826883,921,280,32,0
O211,S46,4,1540,Sea,0.03561215027284148,0.4979763025873932,263,59,34,0
O212,S33,2,1421,Sea,0.6275061542017663,0.7844081166182038,480,263,64,1
O213,S26,4,1839,Air,0.734073531005878,0.030775178259160096,504,357,47,1
O214,S49,3,1520,Air,0.8578891852462399,0.3088608992364632,876,78,59,1
O215,S15,3,585,Road,0.1271824536325109,0.07234838383605735,53,343,28,0
O216,S1,3,646,Sea,0.565557483226387,0.6490806020188844,854,451,37,0
O217,S45,3,697,Air,0.1477463244379611,0.4281233678183747,822,409,20,0
O218,S17,3,694,Air,0.3408830154923571,0.7849556152865075,526,272,30,0
O219,S19,3,1664,Sea,0.6897016423646233,0.8521477478000117,581,66,59,1
O220,S8,5,1734,Road,0.25683157456705863,0.4561272089466333,962,359,30,0
O221,S19,3,657,Road,0.7477434259276107,0.44111616409833365,388,426,47,1
O222,S33,2,1752,Road,0.39295076499135306,0.9617624783454688,137,417,72,1
O223,S32,3,324,Sea,0.21897012710580133,0.49654981360183126,41,428,43,1
O224,S21,4,400,Road,0.1260554313607034,0.8752098044480255,717,180,23,0
O225,S25,3,183,Road,0.3386432714478632,0.12648025669130947,235,289,34,0
O226,S36,4,1633,Sea,0.023716360305790607,0.07978912363400037,348,87,26,0
O227,S24,3,588,Air,0.6162173962941392,0.498872821153881,4,131,58,1
O228,S47,3,984,Road,0.4192492493189658,0.1939939562233972,763,109,29,0
O229,S35,5,298,Road,0.539615850601837,0.1290367878104367,662,225,15,0
O230,S37,3,865,Sea,0.3858125217592894,0.7142154368573138,943,328,43,1
O231,S12,5,1462,Road,0.8802517732816871,0.27993732969190666,300,427,55,1
O232,S19,3,1575,Sea,0.32233845808094364,0.6103938666440536,358,497,62,1
O233,S17,3,363,Road,0.07227170901135149,0.690701039499166,660,399,23,0
O234,S44,5,856,Road,0.2278431880765006,0.49022197465374084,936,438,23,0
O235,S36,4,251,Air,0.5078501431374813,0.1622355481405775,374,425,33,0
O236,S25,3,1027,Sea,0.2564440174631881,0.010071134832283168,919,290,28,0
O237,S25,3,823,Air,0.45756884767397166,0.26828219553948784,574,285,31,0
O238,S22,2,1768,Air,0.7554311006220276,0.26707194134908774,583,162,64,1
O239,S21,4,1130,Air,0.8282735648159884,0.251853362345709,538,177,46,1
O240,S20,3,903,Sea,0.7359019858685248,0.838500990443146,590,471,52,1
O241,S12,5,333,Road,0.794060625882755,0.9689228737187425,732,442,35,0
O242,S6,3,129,Road,0.7492171650908982,0.9385855957785052,860,337,41,1
O243,S25,3,1031,Road,0.6342526534515374,0.35390566721181704,851,472,37,0
O244,S1,3,1816,Road,0.008223131388891525,0.7360821443370854,510,449,38,0
O245,S39,4,1986,Sea,0.7277640405129441,0.12146477090712748,305,121,41,0
O246,S33,2,165,Road,0.48877938822966605,0.40799436224815233,701,231,34,1
O247,S5,3,133,Road,0.06519976670615046,0.3074325325478372,844,487,16,0
O248,S50,3,676,Sea,0.5385833858542034,0.2504434017536037,373,281,30,0
O249,S17,3,855,Sea,0.16631170020908237,0.7053805596474173,590,72,39,0
O250,S23,3,1429,Sea,0.5144796421310306,0.7134573604340441,650,375,53,1
O251,S9,4,1848,Road,0.8060821653949275,0.2792652780409898,285,299,56,1
O252,S3,4,65,Sea,0.9274228364827622,0.5209913886493571,65,417,52,1
O253,S33,2,1287,Road,0.8934434653762651,0.19415269661854906,637,390,53,1
O254,S47,3,549,Road,0.846922599550907,0.3763884964416109,67,277,48,1
O255,S4,4,615,Road,0.9421424822804046,0.1791192841569551,863,376,27,0
O256,S14,3,1146,Road,0.33011179785524114,0.3222974734029085,8,285,45,1
O257,S10,4,388,Air,0.4353893961280134,0.4018987079559666,829,136,20,0
O258,S48,3,1623,Air,0.8778321678901223,0.48187338394499024,579,228,63,1
O259,S17,3,817,Sea,0.30436778342955095,0.6824930337371488,243,397,56,1
O260,S13,4,1669,Air,0.7485647184536268,0.4371242737400124,958,133,54,1
O261,S43,1,1930,Road,0.037556069740189546,0.2851331751807087,739,437,45,1
O262,S3,4,580,Sea,0.7098954333814536,0.04786559890610709,948,410,25,0
O263,S47,3,367,Sea,0.018558336523525565,0.699208677537377,405,486,42,1
O264,S7,2,1202,Road,0.52269726463837,0.550038740998604,213,453,67,1
O265,S21,4,959,Road,0.3745361524510411,0.08077921387434361,947,343,21,0
O266,S1,3,80,Air,0.7501502812985177,0.2147536658250827,546,72,40,1
O267,S24,3,337,Air,0.5769095353227514,0.657494229984942,329,296,33,0
O268,S16,3,111,Road,0.35698369214011294,0.5126880723288114,348,391,41,0
O269,S24,3,1959,Sea,0.16683823442083467,0.023085480551770177,476,401,33,0
O270,S50,3,580,Sea,0.6466727531599051,0.9528038482491732,872,253,45,1
O271,S2,5,924,Road,0.8355355012681668,0.39914166109395144,697,127,34,0
O272,S38,2,1687,Sea,0.06168029625309546,0.20874588239862923,111,491,57,1
O273,S18,3,1654,Road,0.776640074372623,0.22833083659331044,894,461,44,0
O274,S2,5,294,Sea,0.001087019804932532,0.9006565507683997,404,50,23,0
O275,S50,3,1139,Sea,0.7307068843628862,0.042334945902492094,319,304,38,0
O276,S47,3,351,Road,0.261929244848229,0.688851862300665,899,366,27,0
O277,S35,5,87,Sea,0.9813771043261948,0.349485182308101,25,185,48,1
O278,S26,4,59,Air,0.4167086638472298,0.07276237623962711,424,242,14,0
O279,S38,2,1272,Sea,0.017704445073237207,0.8617738397893546,796,379,53,1
O280,S36,4,1299,Sea,0.40090272257912607,0.7611105884852579,796,358,46,1
O281,S47,3,495,Air,0.8383378205933852,0.5555089783954832,816,258,48,1
O282,S31,4,541,Air,0.888008846002638,0.8083824312394494,990,248,49,1
O283,S49,3,647,Air,0.08773392726269891,0.8384127311673708,987,465,26,0
O284,S3,4,1386,Sea,0.580418165780147,0.07396318727095597,897,142,37,1
O285,S49,3,833,Sea,0.8647669920921977,0.885119320907646,982,408,56,1
O286,S8,5,518,Road,0.8052480869634384,0.2744520502048119,115,462,38,1
O287,S48,3,288,Sea,0.1274207833593991,0.545562544167758,409,263,27,0
O288,S22,2,357,Road,0.4363511943036117,0.7899120017028454,596,318,40,1
O289,S32,3,1162,Road,0.014830162431707872,0.8091032168230461,140,210,47,1
O290,S22,2,1525,Road,0.6918185861250508,0.12161815681964938,535,315,48,1
O291,S48,3,1917,Air,0.2396098320282053,0.8595277052474898,51,453,60,1
O292,S50,3,1549,Air,0.003745094711284813,0.5321574849848356,775,295,34,0
O293,S33,2,222,Air,0.07081470138576451,0.4002190955388112,849,65,26,0
O294,S46,4,843,Air,0.5749105882071062,0.2124147325232152,418,499,43,1
O295,S15,3,74,Sea,0.8999514039064263,0.04979025318770913,863,326,33,0
O296,S25,3,1140,Air,0.5873582062188951,0.45218268536169426,569,198,37,0
O297,S11,1,548,Sea,0.5133940092085156,0.8095872708095528,382,437,69,1
O298,S18,3,171,Road,0.10157454423538137,0.3283520738107182,701,128,17,0
O299,S27,3,1350,Sea,0.7974889777130172,0.5958075323899696,989,231,56,1
O300,S39,4,683,Road,0.8892381375268256,0.20982658309056135,887,267,26,0
O301,S1,3,1839,Air,0.6129773415893603,0.985633620087704,337,231,67,1
O302,S44,5,368,Road,0.050144023071810206,0.3966087993343448,340,418,25,0
O303,S38,2,603,Air,0.9710724586278197,0.9792381683199844,11,388,81,1
O304,S17,3,829,Air,0.4197469749182059,0.4610489672188355,35,384,49,1
O305,S17,3,814,Road,0.8043964469152018,0.2070848248877104,801,275,37,1
O306,S50,3,1206,Road,0.6259002329239922,0.29626983595446943,281,342,57,1
O307,S46,4,1638,Air,0.08546680148748131,0.3813106399520779,735,229,28,0
O308,S49,3,1621,Air,0.35876156746613774,0.9146651074237494,968,342,48,1
O309,S11,1,1774,Road,0.15930748225193592,0.4838613502906203,30,230,66,1
O310,S43,1,99,Sea,0.04998271507755181,0.6098937416692993,575,119,41,1
O311,S35,5,927,Air,0.09130887757816075,0.7500151792286952,965,434,25,0
O312,S26,4,448,Road,0.6950393764974039,0.4301182736076906,817,173,26,0
O313,S2,5,1245,Sea,0.14885680394994028,0.7931708199940416,707,496,39,1
O314,S20,3,80,Road,0.7127180029585496,0.8819875907661296,96,210,55,1
O315,S48,3,1880,Sea,0.5744337572963584,0.8131202726214194,319,249,56,1
O316,S21,4,1709,Sea,0.18928286496824598,0.6033449653117534,69,279,54,1
O317,S5,3,128,Sea,0.7784206115357039,0.5432109871388043,245,63,40,0
O318,S1,3,1963,Air,0.25475879519984534,0.3049346376976608,128,305,50,1
O319,S16,3,1207,Sea,0.9146957435212146,0.6744410713668685,976,425,60,1
O320,S39,4,178,Sea,0.909040941314236,0.96953254153502,76,418,60,1
O321,S22,2,561,Air,0.37218689706809827,0.6727733147291074,599,373,37,0
O322,S41,2,497,Sea,0.821540382196616,0.08101489283126417,783,293,40,0
O323,S22,2,445,Sea,0.8500398549931936,0.6031888234045187,809,499,50,1
O324,S1,3,1423,Air,0.3268203062517321,0.1724518398764654,87,112,49,1
O325,S33,2,1294,Road,0.5127232010735522,0.3057594871435044,639,262,48,1
O326,S33,2,405,Sea,0.9011891219546017,0.26083516280397634,570,358,45,0
O327,S42,3,190,Road,0.1851650454162026,0.6269162793138956,244,499,39,0
O328,S24,3,550,Road,0.22012942083576414,0.8363692930100863,835,108,29,0
O329,S31,4,886,Air,0.7338700872128415,0.3218913425339639,407,66,45,1
O330,S21,4,1201,Road,0.2451539461047435,0.5056657430843782,323,209,34,0
O331,S17,3,130,Sea,0.7999470485848819,0.8342555035851719,817,170,46,1
O332,S46,4,884,Road,0.4004164611708274,0.6382509853969889,860,159,32,0
O333,S25,3,1341,Sea,0.7467216016840621,0.10985975705273343,688,70,46,0
O334,S32,3,865,Sea,0.8528345731854773,0.2200950402742703,693,158,44,1
O335,S45,3,1632,Air,0.6314735671327502,0.0856641940469729,709,431,51,1
O336,S19,3,252,Road,0.1636418413279237,0.8711703319609725,929,328,28,0
O337,S11,1,1891,Sea,0.10735397464609964,0.6972196608085894,272,339,74,1
O338,S19,3,286,Road,0.842447490807708,0.38789890145640626,419,78,33,0
O339,S6,3,1044,Sea,0.5108048871775476,0.8142945193475526,708,240,47,1
O340,S43,1,429,Sea,0.5222789862889461,0.5163287225086414,402,473,64,1
O341,S40,3,1873,Road,0.3444413060873649,0.18977889343122423,79,284,50,1
O342,S16,3,1120,Air,0.6597281404048841,0.5751340544036574,948,141,53,1
O343,S16,3,328,Air,0.4634777312306678,0.6056532718215968,745,436,30,0
O344,S11,1,498,Air,0.5455743467454452,0.17984814840919916,129,198,54,1
O345,S27,3,803,Air,0.8169833808090694,0.11050135122769,379,348,48,1
O346,S46,4,1583,Sea,0.060085157222731445,0.9729019711967063,567,410,43,1
O347,S37,3,1359,Sea,0.7523614423973921,0.7927004505613187,471,472,74,1
O348,S2,5,1023,Sea,0.5394343554879361,0.5177406571044623,112,474,50,1
O349,S14,3,164,Air,0.9488816248994638,0.060781168629403415,178,194,57,1
